datetime,player1,player2,player3,player4,score1,score2
2019-03-01 12:22:03,Christophe,Sekou,Julien,Mourad,11,8
2019-03-02 12:22:03,Mourad,,Julien,,11,9
2019-03-03 12:22:03,Christophe,,Julien,,11,6
2019-03-04 12:22:03,Julien,,Christophe,,11,10
2019-03-05 12:22:03,Christophe,,Julien,,11,3
2019-03-06 12:22:03,Christophe,Julien,David,Romain,11,8
2019-03-07 12:22:03,David,Romain,Julien,Mourad,11,6
2019-03-08 12:22:03,Julien,Mourad,David,Romain,11,6
2019-03-09 12:22:03,Fabrice,,Julien,,12,10
2019-03-10 12:22:03,Fabrice,,Julien,,11,6
2019-03-11 12:22:03,Fabrice,,Julien,,14,12
2019-03-12 12:22:03,Fabrice,,Julien,,11,6
2019-03-13 12:22:03,Fabrice,,Julien,,11,7
2019-03-14 12:22:03,Fabrice,,Christophe,,11,10
2019-03-15 12:22:03,Christophe,,Fabrice,,11,8
2019-03-16 12:22:03,Simon,Thomas,Julien,Mourad,11,6
2019-03-17 12:22:03,Mourad,Christophe,Julien,Thomas,11,10
2019-03-18 12:22:03,Mourad,Fabrice,Julien,Simon,11,8
2019-03-19 12:22:03,Julien,,Mourad,,11,6
2019-03-20 12:22:03,Christophe,,Fabrice,,11,6
2019-03-21 12:22:03,Christophe,Fabrice,Julien,Mourad,11,8
2019-03-22 12:22:03,Christophe,Fabrice,Julien,Mourad,11,6
2019-03-23 12:22:03,Fabrice,,Simon,,11,9
2019-03-24 12:22:03,Simon,,Fabrice,,12,10
2019-03-04 17:53:56.415090,Christophe,,Julien,,11,4
2019-03-04 17:55:30.301264,Christophe,,Julien,,11,8
2019-03-04 18:06:05.009630,Imad,Ruben,Christophe,Julien,6,11
2019-03-05 14:06:16.877417,Christophe,David,Thomas,Julien,11,7
2019-03-05 14:06:27.361015,Christophe,David,Thomas,Julien,11,2
2019-03-06 14:30:24.099599,Simon,Julien,Mourad,Ruben,11,7
2019-03-06 14:30:38.286576,Simon,Julien,Mourad,Ruben,8,11
2019-03-06 14:30:58.219531,Simon,Julien,Mourad,Ruben,11,6
2019-03-11 10:08:24.426895,Christophe,,Simon,,11,2
2019-03-11 10:08:41.190586,Christophe,,Simon,,11,7
2019-03-11 14:09:40.248575,Ruben,Julien,Simon,Fabrice,11,7
2019-03-12 12:33:14.130671,Christophe,,Julien,,11,9
2019-03-12 12:33:41.050531,Julien,,Christophe,,11,10
2019-03-12 13:09:48.155583,Julien,Mourad,Fabrice,Simon,9,11
2019-03-12 14:00:01.722162,Julien,Thomas,Mourad,Simon,3,11
